created_utc	run_id	root	chain_head	prev_chain_head	stage_environment	stage_code	stage_prereg	stage_inputs	stage_data	stage_scores
2026-08-14T17:41:28+00:00	20260814-export-v10	0262d91bfd781499902b0f1224331ada9f73cf893cc955a9272038781734bfbc	ac76079cfaa1b43e03bbedbd94befeef2ca7079ebd4bebd006b4011598be4f20	d10d81fe52870e0cc4a25a5b8232692530ec202c491037537e97a4edfd7d2f82	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	822f78e8cb5a647ee8280fbc5f043ba67b63e2c694a4fe2dc45e445e062a97b4	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T18:05:14+00:00	20260814-regra-v11	42aa55a4ee49fd8ecd054a21f2c997c0931bfd4ceb806d914f0e494f18dd4d01	b51f85d8d90481780918593970f18f62b615042036d3ae929df6aa3b323f8182	ac76079cfaa1b43e03bbedbd94befeef2ca7079ebd4bebd006b4011598be4f20	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	69194117b74fe9af710f7a46d168f8facfd81bf4dc9d405ff23d26c738bf700e	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	10dd6ce53820ba26669689344d888392a0124aeecbcce2a980cd69d076dcd701
2026-08-14T18:54:19+00:00	20260814-capa-v12	d213bd55e42d53c280807e7ed91e6779abc18c06ea4cac2cac4e756052eaf46b	c2a180f9a67e9a5710ca93af19b189e103c44805dfd8d2beb686c1154384270f	b51f85d8d90481780918593970f18f62b615042036d3ae929df6aa3b323f8182	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	011ecc82d38caeb52c9c70080e2773dea8e904a187a4441257311254338ef10c	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	e064baaf94289507a07512e25160f2843b4f7a7abc3f18be35cc30460604c465
2026-08-14T20:13:32+00:00	20260814-oracle-v13	d9a15040527cc5d5bf32955afc563e18cb018f225508eedb3fb67eb8905a3d9e	4afd12103af5a0c777d34fe96b2321165bb7c61d57487dfbc4f2e27eb3935430	c2a180f9a67e9a5710ca93af19b189e103c44805dfd8d2beb686c1154384270f	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	7ca7d65c20f21bcdfc68a12913acc0ee273e2c1585d16e705e44648547989fae	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	9f1f8c6b54b31dc911986de982d009531dc1016bc09cead8efab587301fe4094
2026-08-14T20:26:33+00:00	20260814-painel-v14	bf51833fa2068d69ad6c298c2ac8fa5a6e598219130abb4af9f38294c99ec86b	61be5e9cb7603689548969bd09a34ebd98845cf4bc17916bbf929dcf356ddd67	4afd12103af5a0c777d34fe96b2321165bb7c61d57487dfbc4f2e27eb3935430	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	cc538ffa55a5aa030462f3aeb062e4c4b7825f026621bfda6e71654d6dbd8d56	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	d322b1f4d258567c3f1dcc4efcc0470cc0ec678b3e9c69763fb36694949e65c9	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	9f1f8c6b54b31dc911986de982d009531dc1016bc09cead8efab587301fe4094
2026-08-14T20:57:03+00:00	20260814-continuidade-v15	1486317f01be2f5a958137f7c092542e18bc6500f1c0686349257f5eb18e3b56	e87e65c74ff9ce4e186371122ce0fa2bdafa368b300968446c9c33c23678366f	61be5e9cb7603689548969bd09a34ebd98845cf4bc17916bbf929dcf356ddd67	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	a9fab987f779a19ab6c28bfdb9fe3acd79adb8493eb5dd6115472d216ad4a7e1	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	8a39c677cdf7322899490bdad0aa6ff9bb008d8640a821768751751ce1017b13
2026-08-14T23:55:13+00:00	20260814-p0-erratas-v16	53e8e3f7594e225d11e2b61e6c0da2c04faf1a6d76c63d1859467ed5bdecc25a	d0aaa748b2471e3a48030b3d9723bf3eca26f9f559c77da253cd0d52c143520d	e87e65c74ff9ce4e186371122ce0fa2bdafa368b300968446c9c33c23678366f	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	24c0d1efcb6e60729d6c34d1f13002aa3a6aed55fb001c5d1a5607aed3e83bee	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	8a39c677cdf7322899490bdad0aa6ff9bb008d8640a821768751751ce1017b13
2026-08-15T00:12:47+00:00	20260814-p1-centavos-refs-v17	ab3d3102f74db31abd4a97fc643a782472e08007e433c39e3162c5e6235d7129	5231d661c3a8bfe5aff54d68dc19dbe8923f25db534363bf649f8008dc1c890c	d0aaa748b2471e3a48030b3d9723bf3eca26f9f559c77da253cd0d52c143520d	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	a29ac7870b8949fec39544d92005e8c753d8bd4a8958e6ea159fae207042e8c5	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	1895644372b2ad1c329438320a3b060186d2afa9bf6725b5c555af080e4d3b85
2026-08-15T02:15:56+00:00	20260814-r2-figuras-chamadas-v18	caa35f597fedaf26fb25f17c9ecba91a453bb9082c6b3672d8f5a2da9762b16d	2c532a4fe61274efb4ad9d312f335254d0a7540b83624dd479c9b292c550ddf6	5231d661c3a8bfe5aff54d68dc19dbe8923f25db534363bf649f8008dc1c890c	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	1ec121a9a257b3258902e1a9ff6e8694ed05d7acc7767d74426557f54a7e6559	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	ebb0764ec25e42e2d76233c6c1a89605af60a9dcd143d3ec49783173330f91ce
2026-08-15T03:22:37+00:00	20260815-titulo-apendice-auditavel-v19	b73e5f0019b181f15fdafdea0b73395baf47b4673009bae787fe23cb380ee1b4	2614eee3e8f8d856c97d8b8c1afee2d5f5363fe614c9b6b60decf4be6341449f	2c532a4fe61274efb4ad9d312f335254d0a7540b83624dd479c9b292c550ddf6	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	f7bcdf58c6e2336f97dab30502f81c8ceaa7b063392e3f2a182d8e2b0af4cf27	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	258d63e4dc80cc8ce6e89a64ed3ab368ee75b67c73e056b463efdb3e0cdd04bd
2026-08-15T17:10:48+00:00	20260815-apendice-b-v20	f268731e2fb01dbe38f4369e435790270448c77e9fc48fd9cbb9f1b1341bca12	81f1e54f647c5521c0b47706cadf23f30b68d68a7a1ae510150b4e2162ded49b	2614eee3e8f8d856c97d8b8c1afee2d5f5363fe614c9b6b60decf4be6341449f	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	8d877ca2b07b8634a2100e974c4cd9fcf7aa7da46900db66864c34ee59ac2ba6	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	258d63e4dc80cc8ce6e89a64ed3ab368ee75b67c73e056b463efdb3e0cdd04bd
2026-08-15T17:17:59+00:00	20260815-apendice-b-v21	f82aacb7ebf6cb86138e80f1ecdf420a9676d33b725205686800cdf97555cce3	bcf6a403ef20a3a9d0e40568720cff4ed322bf14d7a39b1cdf93f11b421715e2	81f1e54f647c5521c0b47706cadf23f30b68d68a7a1ae510150b4e2162ded49b	e116b39d689216d7ee6b936adc6133dd8532071fa07ce16c39fa2c379b1e543d	2a221d12b45bdfaae496bb2eb94f1c287ffb698d8705868c6f7d4e97edc0476e	1c07775cfc570cc30e4eb7e2c8206f3be29d29881722ed8f86a9b14652d8bf4d	55673827a0862de5bc8b91f84c61d45d009bc62cefd7e89fbec0e9a992c1c31d	d1221100a76ce4e0bdd90dedd20e029d063a3b46d7a31f9bb706b63173d5ca95	258d63e4dc80cc8ce6e89a64ed3ab368ee75b67c73e056b463efdb3e0cdd04bd
