configuracao,nuvem,fase,metodo,multiplicador,item_custo,usd_mes_1,usd_36m
C4,aws,2,iso-sla,1.2500,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.2500,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.2500,compute,5929.3922,213458.1193
C3,ibm,2,iso-sla,1.2500,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.2500,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.2500,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.2500,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,premio-gerenciado,2300.9497,82834.1885
C3,ibm,2,iso-sla,1.2500,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.2500,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.2500,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,ia,25.4400,915.8400
C4,aws,2,iso-sla,1.5000,compute,5972.6656,215015.9623
C4,aws,2,iso-sla,1.5000,bloco,2613.6600,123563.3097
C4,aws,2,iso-sla,1.5000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,1.5000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,1.5000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,premio-gerenciado,4872.8960,175424.2560
C4,aws,2,iso-sla,1.5000,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.5000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.5000,compute,5929.3922,213458.1193
C3,ibm,2,iso-sla,1.5000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.5000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.5000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.5000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,premio-gerenciado,2300.9497,82834.1885
C3,ibm,2,iso-sla,1.5000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.5000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.5000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,ia,25.4400,915.8400
C4,aws,2,iso-sla,1.7500,compute,5972.6656,215015.9623
C4,aws,2,iso-sla,1.7500,bloco,2613.6600,123563.3097
C4,aws,2,iso-sla,1.7500,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,1.7500,egress,921.6000,33177.6000
C4,aws,2,iso-sla,1.7500,licencas,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,premio-gerenciado,4872.8960,175424.2560
C4,aws,2,iso-sla,1.7500,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.7500,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.7500,compute,5929.3922,213458.1193
C3,ibm,2,iso-sla,1.7500,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.7500,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.7500,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.7500,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,premio-gerenciado,2300.9497,82834.1885
C3,ibm,2,iso-sla,1.7500,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.7500,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.7500,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,ia,25.4400,915.8400
C4,aws,2,iso-sla,2.0000,compute,5972.6656,215015.9623
C4,aws,2,iso-sla,2.0000,bloco,2613.6600,123563.3097
C4,aws,2,iso-sla,2.0000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,2.0000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,2.0000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,premio-gerenciado,4872.8960,175424.2560
C4,aws,2,iso-sla,2.0000,backup,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,2.0000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,2.0000,compute,5929.3922,213458.1193
