servidor,fase,nuvem,papel,sku,vcpu,ram,instancias,usd_mes,arquivo_fonte
banco-6,2,ibm,premio-gerenciado,databases-for-redis-4-16 ×2 − bxf-2x8,,,1,377.1385,data/precos/api/ibm-is.instance-bxf-2x8-br-sao-2026-08-13.json
app-1,2,ibm,gerenciado,iks.vpc.bxf-4x16,4.0000,8.0000,2,427.1376,data/precos/api/ibm-containers-kubernetes-containers-kubernetes-vpc-bxf-4x16-br-sao-2026-08-13.json
app-1,2,ibm,premio-gerenciado,iks.vpc.bxf-4x16 − bxf-4x16,,,2,38.7776,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
app-2,2,ibm,gerenciado,code-engine multi-tenant,2.0000,4.0000,2,103.9922,data/precos/api/ibm-codeengine-standard-nao-regional-2026-08-13.json
app-2,2,ibm,premio-gerenciado,code-engine multi-tenant − sem equivalente em máquina virtual,,,2,0.0000,data/precos/api/ibm-codeengine-standard-nao-regional-2026-08-13.json
app-3,2,ibm,gerenciado,iks.vpc.bxf-4x16,2.0000,8.0000,1,213.5688,data/precos/api/ibm-containers-kubernetes-containers-kubernetes-vpc-bxf-4x16-br-sao-2026-08-13.json
app-3,2,ibm,premio-gerenciado,iks.vpc.bxf-4x16 − bxf-4x16,,,1,19.3888,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
app-4,2,ibm,gerenciado,iks.vpc.bxf-4x16,4.0000,16.0000,1,213.5688,data/precos/api/ibm-containers-kubernetes-containers-kubernetes-vpc-bxf-4x16-br-sao-2026-08-13.json
app-4,2,ibm,premio-gerenciado,iks.vpc.bxf-4x16 − bxf-4x16,,,1,19.3888,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
app-5,2,ibm,gerenciado,iks.vpc.bxf-8x32,6.0000,24.0000,1,428.1450,data/precos/api/ibm-containers-kubernetes-containers-kubernetes-vpc-bxf-8x32-br-sao-2026-08-13.json
app-5,2,ibm,premio-gerenciado,iks.vpc.bxf-8x32 − bxf-8x32,,,1,39.7850,data/precos/api/ibm-is.instance-bxf-8x32-br-sao-2026-08-13.json
app-6,2,ibm,gerenciado,iks.vpc.bxf-4x16,2.0000,4.0000,2,427.1376,data/precos/api/ibm-containers-kubernetes-containers-kubernetes-vpc-bxf-4x16-br-sao-2026-08-13.json
app-6,2,ibm,premio-gerenciado,iks.vpc.bxf-4x16 − bxf-4x16,,,2,38.7776,data/precos/api/ibm-is.instance-bxf-4x16-br-sao-2026-08-13.json
—,2,ibm,objeto,armazenamento padrão,,,1,607.3774,ver trilha
—,2,ibm,egress,saída para internet,,,1,1108.6817,ver trilha
—,2,ibm,rede,balanceador,,,1,41.6939,ver trilha
—,2,ibm,premio-gerenciado,plano de controle do cluster,,,1,0.0000,ver trilha
banco-1,2,aws,gerenciado,db.m6i.xlarge,4.0000,16.0000,2,674.5200,data/precos/api/aws-AmazonRDS-sa-east-1-2026-08-13.json
banco-1,2,aws,premio-gerenciado,db.m6i.xlarge − m6a.xlarge,,,2,272.4360,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
banco-2,2,aws,gerenciado,db.m6i.2xlarge,8.0000,32.0000,1,674.5200,data/precos/api/aws-AmazonRDS-sa-east-1-2026-08-13.json
banco-2,2,aws,premio-gerenciado,db.m6i.2xlarge − m6a.2xlarge,,,1,272.4360,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
banco-3,2,aws,gerenciado,db.m5.2xlarge,6.0000,24.0000,1,680.3600,data/precos/api/aws-AmazonRDS-sa-east-1-2026-08-13.json
banco-3,2,aws,premio-gerenciado,db.m5.2xlarge − m6a.2xlarge,,,1,278.2760,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
banco-4,2,aws,gerenciado,db.r5.xlarge,4.0000,16.0000,1,836.5800,data/precos/api/aws-AmazonDocDB-sa-east-1-2026-08-13.json
banco-4,2,aws,premio-gerenciado,db.r5.xlarge − m6a.xlarge,,,1,635.5380,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
banco-5,2,aws,gerenciado,db.m5.2xlarge,8.0000,32.0000,1,674.5200,data/precos/api/aws-AmazonRDS-sa-east-1-2026-08-13.json
banco-5,2,aws,premio-gerenciado,db.m5.2xlarge − m6a.2xlarge,,,1,272.4360,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
banco-6,2,aws,gerenciado,cache.r5.large,2.0000,8.0000,1,315.3600,data/precos/api/aws-AmazonElastiCache-sa-east-1-2026-08-13.json
banco-6,2,aws,premio-gerenciado,cache.r5.large − m6a.large,,,1,214.8390,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-1,2,aws,gerenciado,m6a.xlarge,4.0000,8.0000,2,402.0840,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-1,2,aws,premio-gerenciado,m6a.xlarge − m6a.xlarge,,,2,0.0000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-2,2,aws,gerenciado,lambda concorrência provisionada,2.0000,4.0000,2,41.9266,data/precos/api/aws-AWSLambda-sa-east-1-2026-08-13.json
app-2,2,aws,premio-gerenciado,lambda concorrência provisionada − sem equivalente em máquina virtual,,,2,0.0000,data/precos/api/aws-AWSLambda-sa-east-1-2026-08-13.json
app-3,2,aws,gerenciado,m6a.large,2.0000,8.0000,1,100.5210,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-3,2,aws,premio-gerenciado,m6a.large − m6a.large,,,1,0.0000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-4,2,aws,gerenciado,m6a.xlarge,4.0000,16.0000,1,201.0420,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-4,2,aws,premio-gerenciado,m6a.xlarge − m6a.xlarge,,,1,0.0000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-5,2,aws,gerenciado,m6a.2xlarge,6.0000,24.0000,1,402.0840,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-5,2,aws,premio-gerenciado,m6a.2xlarge − m6a.2xlarge,,,1,0.0000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-6,2,aws,gerenciado,m6a.large,2.0000,4.0000,2,201.0420,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
app-6,2,aws,premio-gerenciado,m6a.large − m6a.large,,,2,0.0000,data/precos/api/aws-AmazonEC2-sa-east-1-2026-08-13.json
—,2,aws,objeto,armazenamento padrão,,,1,829.4400,ver trilha
—,2,aws,egress,saída para internet,,,1,921.6000,ver trilha
—,2,aws,rede,balanceador,,,1,32.8500,ver trilha
—,2,aws,premio-gerenciado,plano de controle do cluster,,,1,73.0000,ver trilha
